#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
-0.0070357025,-0.0009098053,A,X,0.1
0.008692354,-0.00029754639,A,X,0.1
-0.0053878725,0.00089836121,A,X,0.1
0.011099488,-0.0008430481,A,X,0.1
0.0018469393,2.67E-05,A,X,0.1
-0.0014201105,-0.0013771057,A,X,0.1
-0.0046690404,-0.00089836121,A,X,0.1
0.0081679523,-0.00071716309,A,X,0.1
-0.010346502,0.00063323975,A,X,0.1
0.013385087,-0.001033783,A,X,0.1
-0.010608464,-0.00099563599,A,X,0.1
0.0070560873,-0.0010757446,A,X,0.1
-0.003333658,-8.58E-05,A,X,0.1
0.0082038939,-0.0014228821,A,X,0.1
-0.0026802719,-0.00091171265,A,X,0.1
0.00081649423,-0.0011539459,A,X,0.1
-0.0021972954,-0.00049781799,A,X,0.1
0.0063908398,-0.0013999939,A,X,0.1
-0.0064135492,-0.00022125244,A,X,0.1
0.0038549602,0.00031661987,A,X,0.1
-0.00060752034,-0.00022506714,A,X,0.1
0.0074471533,-0.00053787231,A,X,0.1
-0.0075146258,-0.00050926208,A,X,0.1
0.0093307793,-0.0016326904,A,X,0.1
-0.010238081,-0.001083374,A,X,0.1
-0.0062864125,-0.00067329407,A,X,0.1
-0.011197537,-0.00033187866,A,X,0.1
0.0070062578,-0.00059127808,A,X,0.1
-0.0021397173,-0.00018692017,A,X,0.1
0.0093802512,-0.00039672852,A,X,0.1
-0.003069371,-0.0002117157,A,X,0.1
0.0016412437,-0.0010681152,A,X,0.1
-0.00051775575,-0.00038528442,A,X,0.1
-0.0011365712,-0.00034332275,A,X,0.1
-0.0048287213,-0.00094604492,A,X,0.1
-6.11E-05,-9.73E-05,A,X,0.1
-0.0015137494,0.00038719177,A,X,0.1
0.0059023798,-0.00092506409,A,X,0.1
-0.0086184442,0.00035476685,A,X,0.1
0.00045314431,-0.0001335144,A,X,0.1
-0.0034379065,0.00016212463,A,X,0.1
0.0040474236,-0.0012874603,A,X,0.1
-0.0076524913,-7.63E-05,A,X,0.1
0.0010996759,-0.00047111511,A,X,0.1
-0.0010876358,0.00037956238,A,X,0.1
0.004928261,-0.001449585,A,X,0.1
0.00079926848,-0.0017051697,A,X,0.1
0.0045084655,-0.00012588501,A,X,0.1
-0.010961443,-0.0005569458,A,X,0.1
0.0044701993,0.00061225891,A,X,0.1
0.0067672431,-0.00084495544,A,X,0.1
0.0042878687,-0.00011444092,A,X,0.1
-0.0022545159,-0.00095367432,A,X,0.1
-0.00060418248,-0.00049591064,A,X,0.1
0.0031407773,-0.00032997131,A,X,0.1
0.0021106303,9.92E-05,A,X,0.1
-0.0044483244,-0.00066184998,A,X,0.1
-0.0035653412,-0.0005531311,A,X,0.1
0.0052225292,4.96E-05,A,X,0.1
-0.003834635,0.00012588501,A,X,0.1
-0.0044563115,-0.0011501312,A,X,0.1
-0.0047444999,0.00053024292,A,X,0.1
0.008626312,-0.0018177032,A,X,0.1
-0.00031515956,-0.0017738342,A,X,0.1
-0.00079098344,-0.00062561035,A,X,0.1
-0.0083836019,-0.0015239716,A,X,0.1
0.0026219189,5.72E-06,A,X,0.1
0.0074395239,-0.0004940033,A,X,0.1
-0.0061770976,-0.00067138672,A,X,0.1
-0.0041659176,-0.00088310242,A,X,0.1
-0.0052284896,-0.0010261536,A,X,0.1
-0.0018435419,-0.00093650818,A,X,0.1
0.0012277663,0.00084686279,A,X,0.1
0.0057781637,-0.00089645386,A,X,0.1
-0.00070163608,-0.0011806488,A,X,0.1
-0.0053964555,3.43E-05,A,X,0.1
0.0027050674,-0.00038719177,A,X,0.1
-0.0012399852,-0.00087738037,A,X,0.1
0.0022101104,-0.001335144,A,X,0.1
-0.005107373,-1.34E-05,A,X,0.1
0.0068980157,-0.00082015991,A,X,0.1
-0.0081149638,-0.00091743469,A,X,0.1
0.0020397007,-0.00034713745,A,X,0.1
-0.0053605735,-0.00028991699,A,X,0.1
0.011727661,-0.00065040588,A,X,0.1
-0.0059671104,-0.0016441345,A,X,0.1
0.0074565709,-0.0013694763,A,X,0.1
-0.0033600032,-0.00051689148,A,X,0.1
0.0045079887,-0.0011463165,A,X,0.1
-0.0080179274,-0.0010852814,A,X,0.1
0.010784119,-0.00069999695,A,X,0.1
-0.010190338,0.00019645691,A,X,0.1
-0.0028513968,-0.00028991699,A,X,0.1
-0.0045086443,0.00011062622,A,X,0.1
0.0037373006,-0.00059509277,A,X,0.1
-0.0087931454,-0.00088119507,A,X,0.1
0.006064862,-0.00031280518,A,X,0.1
-0.011061221,-0.00033569336,A,X,0.1
0.0087936819,-0.0015888214,A,X,0.1
-0.0047723949,4.58E-05,A,X,0.1
0.0091976821,-0.00033950806,A,X,0.1
-0.012192219,-0.0010719299,A,X,0.1
0.0070309937,-0.00072479248,A,X,0.1
-0.016581088,-0.00061035156,A,X,0.1
0.0028515756,-0.00028610229,A,X,0.1
-0.0043171942,-0.0014419556,A,X,0.1
-0.00097170472,9.54E-05,A,X,0.1
-0.0039128363,-0.0014190674,A,X,0.1
0.0066374838,-0.00054168701,A,X,0.1
-0.0072233379,0.00041389465,A,X,0.1
0.0070411265,-0.00075340271,A,X,0.1
-0.01148209,-0.00070953369,A,X,0.1
0.012647361,-0.00064849854,A,X,0.1
-0.0020661056,-3.81E-05,A,X,0.1
0.00041779876,-0.00014877319,A,X,0.1
-0.0057545602,-0.00074768066,A,X,0.1
0.015052646,0.00013542175,A,X,0.1
-0.0044501722,-0.00032806396,A,X,0.1
-0.0036878288,0.00068473816,A,X,0.1
-0.0047866404,-0.0011310577,A,X,0.1
0.0072535574,-0.0013809204,A,X,0.1
-0.0032839477,-0.00049591064,A,X,0.1
0.0059407651,-0.00071525574,A,X,0.1
-0.015337199,-0.0026607513,A,X,0.1
0.0090877712,-0.001537323,A,X,0.1
