,Force,Displacement,Design,Direction,Displacement Rate
111,-0.0044989884,-0.00023460388,A,X,0.1
112,-0.0042128861,-0.0018882751,A,X,0.1
113,0.0071348846,0.00074005127,A,X,0.1
114,-0.0044490397,-0.0017662048,A,X,0.1
115,0.0027779043,-0.00064849854,A,X,0.1
116,-0.0006352365,1.5258789e-05,A,X,0.1
117,0.010815531,-0.00032806396,A,X,0.1
118,-0.0083277524,-0.0012149811,A,X,0.1
119,0.0055342615,-0.00080490112,A,X,0.1
120,-0.0090785325,-0.0011138916,A,X,0.1
121,0.013930172,-0.00064468384,A,X,0.1
122,-0.0070916116,-0.0013237,A,X,0.1
123,0.0087813437,-0.00040435791,A,X,0.1
124,-0.0084015429,0.00033950806,A,X,0.1
125,0.0029430091,-0.00073623657,A,X,0.1
126,-0.013597578,-0.00053787231,A,X,0.1
127,-0.00044819713,-2.8610229e-05,A,X,0.1
128,-0.0025666058,0.00020980835,A,X,0.1
129,0.0060382187,-0.0012321472,A,X,0.1
130,-0.0049916804,-5.9127808e-05,A,X,0.1
131,0.005615741,0.00053024292,A,X,0.1
132,0.0004799068,-0.00086402893,A,X,0.1
133,0.0065286458,-0.00034332275,A,X,0.1
134,-0.014086574,-0.0012130737,A,X,0.1
135,-0.00018623471,-0.00061607361,A,X,0.1
136,-0.0083865821,-0.00063514709,A,X,0.1
137,0.020476788,-0.00019073486,A,X,0.1
138,-0.014741033,-0.00071907043,A,X,0.1
139,0.0092996657,0.00020980835,A,X,0.1
140,-0.0030073822,-0.00078010559,A,X,0.1
141,0.0042308867,-0.0014019012,A,X,0.1
142,-0.0070004761,0.00034141541,A,X,0.1
143,-0.00027212501,-0.00072479248,A,X,0.1
144,-0.0080986321,-0.00060653687,A,X,0.1
145,0.0070943534,-0.001537323,A,X,0.1
146,-0.0010640323,-0.00141716,A,X,0.1
147,0.0040010512,-0.00020599365,A,X,0.1
148,-0.0043062866,-0.00040626526,A,X,0.1
149,0.0021805465,-0.00037956238,A,X,0.1
150,-0.0039584339,-0.0010299683,A,X,0.1
151,0.0082317293,0.00093078613,A,X,0.1
152,-0.011324555,-0.00067520142,A,X,0.1
153,0.0033921897,-0.0011787415,A,X,0.1
154,-0.016518265,-0.0006980896,A,X,0.1
155,0.015709013,-0.0011425018,A,X,0.1
156,-0.012069017,2.6702881e-05,A,X,0.1
157,0.0060845912,-5.7220459e-05,A,X,0.1
158,-0.0028466284,0.00023651123,A,X,0.1
159,0.0029908121,-0.0012054443,A,X,0.1
160,-0.013685495,-0.0013198853,A,X,0.1
161,0.0035643876,-0.00087738037,A,X,0.1
162,-0.0073450506,-0.00078392029,A,X,0.1
163,0.013275713,-0.00054168701,A,X,0.1
164,-0.0072531998,-0.0019340515,A,X,0.1
165,0.0022408664,-0.0005531311,A,X,0.1
166,-0.0034369528,-0.0022010803,A,X,0.1
167,0.0084938705,-0.00067520142,A,X,0.1
168,0.0013872087,-0.00056838989,A,X,0.1
169,0.0071257055,-0.00037384033,A,X,0.1
170,-0.0096951425,-0.0002784729,A,X,0.1
171,0.01232633,0.00085258484,A,X,0.1
