Force,Displacement,Design,Direction,Displacement Rate
0.008793682,-0.001588821,A,X,0.1
-0.004772395,4.58E-05,A,X,0.1
0.009197682,-0.000339508,A,X,0.1
-0.012192219,-0.00107193,A,X,0.1
0.007030994,-0.000724792,A,X,0.1
-0.016581088,-0.000610352,A,X,0.1
0.002851576,-0.000286102,A,X,0.1
-0.004317194,-0.001441956,A,X,0.1
-0.000971705,9.54E-05,A,X,0.1
-0.003912836,-0.001419067,A,X,0.1
0.006637484,-0.000541687,A,X,0.1
-0.007223338,0.000413895,A,X,0.1
0.007041127,-0.000753403,A,X,0.1
-0.01148209,-0.000709534,A,X,0.1
0.012647361,-0.000648499,A,X,0.1
-0.002066106,-3.81E-05,A,X,0.1
0.000417799,-0.000148773,A,X,0.1
-0.00575456,-0.000747681,A,X,0.1
0.015052646,0.000135422,A,X,0.1
-0.004450172,-0.000328064,A,X,0.1
-0.003687829,0.000684738,A,X,0.1
-0.00478664,-0.001131058,A,X,0.1
0.007253557,-0.00138092,A,X,0.1
-0.003283948,-0.000495911,A,X,0.1
0.005940765,-0.000715256,A,X,0.1
-0.015337199,-0.002660751,A,X,0.1
0.009087771,-0.001537323,A,X,0.1
-0.009791523,-0.000770569,A,X,0.1
0.009692401,-0.000802994,A,X,0.1
-0.010773569,-0.000711441,A,X,0.1
0.008198708,-0.00082016,A,X,0.1
-0.009875208,-0.000965118,A,X,0.1
0.007389158,-0.000904083,A,X,0.1
0.002152592,-0.000823975,A,X,0.1
0.003021747,-0.000989914,A,X,0.1
-0.003883392,-0.000925064,A,X,0.1
0.007163853,-3.24E-05,A,X,0.1
-0.009434134,9.54E-06,A,X,0.1
0.005354732,0.000450134,A,X,0.1
-0.01177755,-0.00012207,A,X,0.1
0.007645041,-0.000400543,A,X,0.1
-0.010198742,-0.001594544,A,X,0.1
0.004542738,-0.000883102,A,X,0.1
-0.007711381,-0.000368118,A,X,0.1
0.001252502,0.000253677,A,X,0.1
-0.007354051,-0.00028038,A,X,0.1
0.00694254,-0.001029968,A,X,0.1
-0.013451666,-0.000394821,A,X,0.1
0.003669113,-0.001041412,A,X,0.1
-0.007271022,-0.001018524,A,X,0.1
0.008979946,-0.000413895,A,X,0.1
-0.00735113,-0.000192642,A,X,0.1
0.008254618,-0.000274658,A,X,0.1
-0.001145393,-0.00075531,A,X,0.1
0.00646463,7.44E-05,A,X,0.1
0.00403437,-0.000738144,A,X,0.1
0.014205545,-0.000583649,A,X,0.1
-0.01014176,-0.002290726,A,X,0.1
0.009101063,0.000514984,A,X,0.1
-0.001816541,0.000144959,A,X,0.1
0.001637548,-0.000520706,A,X,0.1
-0.005357593,-0.001663208,A,X,0.1
0.002945393,-0.000802994,A,X,0.1
-0.002405852,-0.001937866,A,X,0.1
-0.00023821,-0.000812531,A,X,0.1
-0.00264445,-0.000427246,A,X,0.1
0.003949016,-0.001192093,A,X,0.1
-0.004218847,-0.000730515,A,X,0.1
0.004966408,-1.14E-05,A,X,0.1
-0.003425747,-0.000160217,A,X,0.1
0.001493663,0.000499725,A,X,0.1
0.005236,6.48E-05,A,X,0.1
0.004615814,-0.001304627,A,X,0.1
-0.004223734,-0.001493454,A,X,0.1
0.011283964,-0.001134872,A,X,0.1
-0.006929845,-0.000394821,A,X,0.1
0.002104789,-0.000102997,A,X,0.1
0.001526207,-0.000656128,A,X,0.1
-0.000889987,0.001153946,A,X,0.1
-0.002959818,-0.000574112,A,X,0.1
0.004173487,8.96E-05,A,X,0.1
0.006960183,-0.00069809,A,X,0.1
-0.005887836,-0.000434875,A,X,0.1
-0.004976898,-0.001251221,A,X,0.1
0.006166369,0.001272202,A,X,0.1
-0.002594978,-0.001064301,A,X,0.1
-0.005111843,-0.000646591,A,X,0.1
-0.003992587,5.91E-05,A,X,0.1
-1.24E-05,-0.001693726,A,X,0.1
-0.008787304,0.000261307,A,X,0.1
-0.008896679,6.87E-05,A,X,0.1
-0.000927657,-0.000699997,A,X,0.1
-0.007865936,-0.001029968,A,X,0.1
-0.002374739,0.000362396,A,X,0.1
0.001629442,-0.000574112,A,X,0.1
0.005979329,-0.000328064,A,X,0.1
0.002653509,-0.00087738,A,X,0.1
0.008796483,-0.000457764,A,X,0.1
-0.004895598,0.000268936,A,X,0.1
-0.004395157,-0.000131607,A,X,0.1
-0.001322001,-0.000839233,A,X,0.1
0.000870317,-0.001249313,A,X,0.1
0.00537464,-0.000759125,A,X,0.1
0.007736534,0.000364304,A,X,0.1
0.000465006,-0.000453949,A,X,0.1
0.004856259,0.000205994,A,X,0.1
-0.012309939,-0.000699997,A,X,0.1
0.001174778,-0.001176834,A,X,0.1
-0.009454161,-0.001081467,A,X,0.1
0.012674123,-3.81E-06,A,X,0.1
0.001373142,-0.001037598,A,X,0.1
0.010933131,-0.000553131,A,X,0.1
-0.002427489,-0.000713348,A,X,0.1
0.001615018,-0.001726151,A,X,0.1
-0.005153149,-0.000265121,A,X,0.1
0.006623417,-0.000249863,A,X,0.1
-0.002185017,-0.000389099,A,X,0.1
0.003356725,0.000183105,A,X,0.1
-0.002828151,7.63E-05,A,X,0.1
0.002784163,0.000270844,A,X,0.1
-0.002534181,-0.000226974,A,X,0.1
0.002194256,2.67E-05,A,X,0.1
-0.008490712,-0.001052856,A,X,0.1
0.00510332,-0.000144959,A,X,0.1
-0.006683499,0.00037384,A,X,0.1
-0.001507789,-0.000326157,A,X,0.1
-0.00499621,-0.000549316,A,X,0.1
0.008272141,-0.000469208,A,X,0.1
-0.006401986,-0.001140595,A,X,0.1
0.018090218,-0.001312256,A,X,0.1
-0.003876478,-0.001152039,A,X,0.1
0.010466903,0.000999451,A,X,0.1
-0.004356831,-0.001104355,A,X,0.1
0.005163878,-0.000665665,A,X,0.1
-0.005949169,-0.000375748,A,X,0.1
0.010993928,-0.001184464,A,X,0.1
-0.003814071,-0.000167847,A,X,0.1
0.001363367,-0.001192093,A,X,0.1
-0.004879683,0.00035286,A,X,0.1
0.00839749,-0.001087189,A,X,0.1
0.003696829,-0.000703812,A,X,0.1
0.019180566,-0.001401901,A,X,0.1
-0.010835379,-9.16E-05,A,X,0.1
0.000248104,-0.000530243,A,X,0.1
-0.012709349,-0.00075531,A,X,0.1
0.000224799,0.000167847,A,X,0.1
-0.011791378,-0.000301361,A,X,0.1
0.006875247,-0.000181198,A,X,0.1
-0.001052171,-0.000585556,A,X,0.1
0.006639868,-0.000766754,A,X,0.1
-0.006321997,-0.000600815,A,X,0.1
0.012224883,-0.001701355,A,X,0.1
-0.003158003,-0.000225067,A,X,0.1
0.014485806,1.72E-05,A,X,0.1
-0.003468484,-0.000408173,A,X,0.1
0.007263929,0.000688553,A,X,0.1
-0.006854028,0.000822067,A,X,0.1
0.002590269,0.000272751,A,X,0.1
-0.007388026,9.54E-05,A,X,0.1
0.012071997,-0.000377655,A,X,0.1
-0.012773603,-0.000923157,A,X,0.1
0.011330277,-0.00087738,A,X,0.1
-0.001060218,-0.000190735,A,X,0.1
0.004627794,-0.000535965,A,X,0.1
-0.016704172,-0.001092911,A,X,0.1
0.010411531,0.000413895,A,X,0.1
-0.006270796,-0.000619888,A,X,0.1
0.005184978,-0.001426697,A,X,0.1
-0.018680245,-0.00066185,A,X,0.1
0.003935427,-0.000230789,A,X,0.1
-0.004752129,-0.001424789,A,X,0.1
0.009435386,0.000411987,A,X,0.1
-0.00363943,-0.0007267,A,X,0.1
0.011187106,-0.001070023,A,X,0.1
-0.003280252,-0.000816345,A,X,0.1
0.00402543,-0.000343323,A,X,0.1
-0.002120525,-0.000915527,A,X,0.1
0.002169758,-0.000823975,A,X,0.1
-0.002999872,-0.000278473,A,X,0.1
-0.000171274,-0.000324249,A,X,0.1
-0.003011197,0.000701904,A,X,0.1
-0.008038968,-0.0004673,A,X,0.1
5.13E-05,-0.001823425,A,X,0.1
